CustomerID,NumPurchases,TotalSpent,AverageSpent,FirstPurchaseDate,LastPurchaseDate,DaysSinceLastPurchase
12346.0,2,0.0,0.0,2011-01-18 10:01:00,2011-01-18 10:17:00,325
12347.0,7,4310.0,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,1
12348.0,4,1797.24,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,74
12349.0,1,1757.55,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,18
12350.0,1,334.4,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,309
12352.0,11,1545.41,16.267473684210525,2011-02-16 12:33:00,2011-11-03 14:37:00,35
12353.0,1,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,203
12354.0,1,1079.4,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,231
12355.0,1,459.4,35.33846153846154,2011-05-09 13:49:00,2011-05-09 13:49:00,213
12356.0,3,2811.43,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,22
12357.0,1,6207.67,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,32
12358.0,2,1168.06,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,1
12359.0,6,6245.53,24.588700787401574,2011-01-12 12:43:00,2011-12-02 11:21:00,7
12360.0,3,2662.06,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,51
12361.0,1,189.9,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,286
12362.0,13,5154.58,18.812335766423356,2011-02-17 10:30:00,2011-12-06 15:40:00,2
12363.0,2,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,109
12364.0,4,1313.1,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,7
12365.0,3,320.69,13.94304347826087,2011-02-21 13:51:00,2011-02-21 14:04:00,290
12367.0,1,168.9,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,3
12370.0,4,3545.69,21.231676646706585,2010-12-14 12:58:00,2011-10-19 14:51:00,50
12371.0,2,1887.96,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,44
12372.0,3,1298.04,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,71
12373.0,1,364.6,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,310
12374.0,1,742.9300000000001,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,24
12375.0,3,455.42,25.301111111111112,2011-09-02 14:23:00,2011-12-07 11:27:00,2
12377.0,2,1628.1200000000001,21.144415584415587,2010-12-20 09:37:00,2011-01-28 15:45:00,314
12378.0,1,4008.62,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,129
12379.0,3,850.29,20.738780487804878,2011-06-22 16:32:00,2011-09-19 10:09:00,81
12380.0,5,2720.56,25.910095238095238,2011-06-07 09:49:00,2011-11-18 11:27:00,21
